iter	Passed	Remaining
0	28	28443
1	56	28126
2	81	27244
3	108	27027
4	134	26743
5	162	26855
6	191	27183
7	219	27201
8	244	26966
9	270	26818
10	298	26855
11	329	27117
12	353	26862
13	384	27073
14	412	27066
15	437	26880
16	462	26755
17	487	26605
18	513	26499
19	537	26355
20	562	26223
21	590	26253
22	618	26267
23	643	26158
24	674	26311
25	700	26234
26	726	26171
27	755	26221
28	781	26177
29	816	26410
30	853	26680
31	884	26744
32	912	26747
33	938	26671
34	964	26596
35	990	26513
36	1016	26453
37	1043	26413
38	1070	26387
39	1096	26327
40	1125	26319
41	1150	26246
42	1177	26212
43	1204	26179
44	1232	26150
45	1259	26125
46	1287	26110
47	1315	26095
48	1342	26052
49	1367	25986
50	1393	25930
51	1420	25892
52	1444	25814
53	1473	25817
54	1496	25714
55	1524	25693
56	1553	25699
57	1579	25649
58	1604	25591
59	1632	25570
60	1656	25504
61	1681	25441
62	1707	25396
63	1733	25351
64	1758	25293
65	1783	25240
66	1809	25201
67	1837	25180
68	1858	25079
69	1888	25090
70	1914	25053
71	1941	25024
72	1965	24955
73	1989	24898
74	2015	24856
75	2040	24811
76	2066	24772
77	2088	24683
78	2115	24664
79	2142	24643
80	2168	24602
81	2192	24549
82	2218	24515
83	2243	24463
84	2268	24420
85	2294	24383
86	2321	24361
87	2346	24322
88	2375	24314
89	2400	24274
90	2428	24255
91	2452	24206
92	2478	24167
93	2503	24125
94	2528	24091
95	2553	24047
96	2578	24002
97	2602	23956
98	2627	23914
99	2653	23880
100	2680	23861
101	2708	23846
102	2734	23811
103	2762	23801
104	2789	23774
105	2816	23750
106	2840	23709
107	2867	23685
108	2900	23709
109	2928	23696
110	2955	23667
111	2981	23637
112	3007	23606
113	3032	23569
114	3057	23525
115	3080	23476
116	3107	23455
117	3132	23416
118	3158	23386
119	3184	23354
120	3209	23314
121	3232	23260
122	3255	23214
123	3279	23168
124	3303	23127
125	3330	23103
126	3354	23062
127	3380	23031
128	3406	23000
129	3433	22974
130	3459	22950
131	3484	22912
132	3509	22879
133	3535	22850
134	3557	22794
135	3581	22754
136	3612	22758
137	3652	22812
138	3684	22821
139	3716	22830
140	3747	22831
141	3773	22799
142	3801	22784
143	3827	22751
144	3854	22726
145	3881	22704
146	3904	22656
147	3931	22633
148	3957	22601
149	3983	22575
150	4013	22563
151	4037	22526
152	4065	22505
153	4090	22472
154	4116	22440
155	4142	22410
156	4167	22377
157	4193	22345
158	4219	22319
159	4247	22298
160	4275	22278
161	4301	22248
162	4329	22234
163	4356	22207
164	4381	22174
165	4404	22128
166	4431	22103
167	4460	22088
168	4489	22076
169	4520	22069
170	4553	22075
171	4587	22084
172	4622	22098
173	4656	22106
174	4690	22114
175	4726	22127
176	4762	22143
177	4797	22152
178	4828	22147
179	4864	22161
180	4899	22171
181	4933	22173
182	4966	22173
183	5000	22176
184	5036	22187
185	5071	22195
186	5107	22204
187	5141	22208
188	5174	22203
189	5207	22201
190	5240	22196
191	5274	22195
192	5313	22217
193	5363	22282
194	5398	22284
195	5432	22283
196	5468	22291
197	5504	22295
198	5541	22306
199	5576	22305
200	5611	22307
201	5645	22301
202	5677	22290
203	5711	22287
204	5749	22295
205	5793	22330
206	5826	22320
207	5862	22321
208	5896	22315
209	5929	22307
210	5963	22300
211	5990	22267
212	6016	22231
213	6042	22192
